vehicle_id,vehicle_type,manufacturer,model,prod_year,category,leather interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,levy,price
45654403,auto,LEXUS,RX 450,2010,Jeep,1,Hybrid,3.5,186005,6,Automatic,4x4,4,Left wheel,Silver,12,1399,13328
44731507,auto,CHEVROLET,Equinox,2011,Jeep,0,Petrol,3,192000,6,Tiptronic,4x4,4,Left wheel,Black,8,1018,16621
45774419,auto,HONDA,FIT,2006,Hatchback,0,Petrol,1.3,200000,4,Variator,Front,4,Right-hand drive,Black,2,0,8467
45769185,auto,FORD,Escape,2011,Jeep,1,Hybrid,2.5,168966,4,Automatic,4x4,4,Left wheel,White,0,862,3607
45809263,auto,HONDA,FIT,2014,Hatchback,1,Petrol,1.3,91901,4,Automatic,Front,4,Left wheel,Silver,4,446,11726
45802912,auto,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2,160931,4,Automatic,Front,4,Left wheel,White,4,891,39493
45656768,auto,TOYOTA,Prius,2010,Hatchback,1,Hybrid,1.8,258909,4,Automatic,Front,4,Left wheel,White,12,761,1803
45816158,auto,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,216118,4,Automatic,Front,4,Left wheel,Grey,12,751,549
45641395,auto,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,398069,4,Automatic,Front,4,Left wheel,Black,12,394,1098
45756839,auto,LEXUS,RX 350,2007,Jeep,1,Petrol,3.5,128500,6,Automatic,4x4,4,Left wheel,Silver,12,0,26657
45621750,auto,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,184467,6,Automatic,Rear,4,Left wheel,White,12,1053,941
45814819,auto,FORD,Transit,1999,Microbus,0,CNG,4,0,8,Manual,Rear,2,Left wheel,Blue,0,0,8781
45815568,auto,OPEL,Vectra,1997,Goods wagon,0,CNG,1.6,350000,4,Manual,Front,4,Left wheel,White,4,0,3000
45661288,auto,LEXUS,RX 450,2013,Jeep,1,Hybrid,3.5,138038,6,Automatic,Front,4,Left wheel,White,12,1055,1019
45732604,auto,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2,76000,4,Automatic,Front,4,Left wheel,White,4,891,59464
45465200,auto,TOYOTA,CHR,2018,Jeep,1,Petrol,2,74146,4,Automatic,Front,4,Left wheel,White,12,1079,549
45772281,auto,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,121840,4,Automatic,Front,4,Left wheel,Blue,12,810,7683
45797221,auto,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,54317,4,Automatic,Front,4,Left wheel,White,4,810,28382
45772104,auto,HYUNDAI,Sonata,2006,Sedan,1,Petrol,3.3,295059,6,Automatic,Rear,4,Left wheel,Blue,12,2386,549
45653306,auto,LEXUS,RX 400,2008,Jeep,1,Hybrid,3.5,364523,6,Automatic,4x4,4,Left wheel,Black,12,1850,941
45801686,auto,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,112645,4,Automatic,Front,4,Left wheel,Silver,4,531,18826
45168471,auto,TOYOTA,Prius,2012,Sedan,1,Plug-in Hybrid,1.8,187000,4,Automatic,Front,4,Left wheel,White,12,586,20698
45751951,auto,TOYOTA,Camry,2017,Sedan,1,Petrol,2.5,39709,4,Automatic,Front,4,Left wheel,Black,12,1249,17562
45814106,auto,FORD,Transit,2001,Microbus,0,Diesel,2.0 Turbo,230000,4,Manual,Front,2,Left wheel,White,0,0,7840
45813492,auto,OPEL,Vectra,1995,Sedan,0,Petrol,1.8,0,4,Automatic,Front,4,Left wheel,Green,4,0,4704
45782859,auto,MERCEDES-BENZ,E 220,2006,Sedan,1,Diesel,2.2 Turbo,210000,4,Tiptronic,Rear,4,Left wheel,Black,8,0,20385
45759112,auto,LEXUS,GX 470,2008,Jeep,1,Petrol,4.7,0,8,Automatic,4x4,4,Left wheel,White,0,2455,549
45804684,auto,TOYOTA,Prius,2008,Sedan,0,Hybrid,1.5,169000,4,Automatic,Front,4,Left wheel,White,8,0,30
45801525,auto,HYUNDAI,Elantra,2011,Sedan,1,Petrol,1.6,158787,4,Automatic,Front,4,Left wheel,Silver,4,583,14454
